path,label
Garbage classification resized/plastic/plastic138.jpg,plastic
Garbage classification resized/cardboard/cardboard9.jpg,cardboard
Garbage classification resized/metal/metal89.jpg,metal
Garbage classification resized/plastic/plastic360.jpg,plastic
Garbage classification resized/cardboard/cardboard_572.jpg,cardboard
Garbage classification resized/glass/glass319.jpg,glass
Garbage classification resized/glass/glass139.jpg,glass
Garbage classification resized/metal/metal300.jpg,metal
Garbage classification resized/metal/metal380.jpg,metal
Garbage classification resized/cardboard/cardboard156.jpg,cardboard
Garbage classification resized/plastic/plastic386.jpg,plastic
Garbage classification resized/plastic/plastic299.jpg,plastic
Garbage classification resized/trash/trash_159.jpg,trash
Garbage classification resized/trash/trash_278.jpg,trash
Garbage classification resized/trash/trash_157.jpg,trash
Garbage classification resized/trash/trash_463.jpg,trash
Garbage classification resized/glass/glass_504.jpg,glass
Garbage classification resized/plastic/plastic474.jpg,plastic
Garbage classification resized/metal/metal33.jpg,metal
Garbage classification resized/trash/trash57.jpg,trash
Garbage classification resized/trash/trash_493.jpg,trash
Garbage classification resized/paper/paper441.jpg,paper
Garbage classification resized/paper/paper368.jpg,paper
Garbage classification resized/glass/glass101.jpg,glass
Garbage classification resized/metal/metal81.jpg,metal
Garbage classification resized/metal/metal_492.jpg,metal
Garbage classification resized/glass/glass_502.jpg,glass
Garbage classification resized/cardboard/cardboard243.jpg,cardboard
Garbage classification resized/plastic/plastic440.jpg,plastic
Garbage classification resized/plastic/plastic243.jpg,plastic
Garbage classification resized/glass/glass287.jpg,glass
Garbage classification resized/trash/trash_494.jpg,trash
Garbage classification resized/paper/paper129.jpg,paper
Garbage classification resized/glass/glass421.jpg,glass
Garbage classification resized/glass/glass366.jpg,glass
Garbage classification resized/paper/paper550.jpg,paper
Garbage classification resized/metal/metal168.jpg,metal
Garbage classification resized/metal/metal337.jpg,metal
Garbage classification resized/plastic/plastic223.jpg,plastic
Garbage classification resized/glass/glass_557.jpg,glass
Garbage classification resized/trash/trash_377.jpg,trash
Garbage classification resized/glass/glass501.jpg,glass
Garbage classification resized/cardboard/cardboard143.jpg,cardboard
Garbage classification resized/paper/paper585.jpg,paper
Garbage classification resized/cardboard/cardboard379.jpg,cardboard
Garbage classification resized/metal/metal_415.jpg,metal
Garbage classification resized/cardboard/cardboard_503.jpg,cardboard
Garbage classification resized/glass/glass_582.jpg,glass
Garbage classification resized/glass/glass225.jpg,glass
Garbage classification resized/metal/metal_505.jpg,metal
Garbage classification resized/plastic/plastic451.jpg,plastic
Garbage classification resized/paper/paper298.jpg,paper
Garbage classification resized/glass/glass55.jpg,glass
Garbage classification resized/metal/metal126.jpg,metal
Garbage classification resized/paper/paper483.jpg,paper
Garbage classification resized/plastic/plastic454.jpg,plastic
Garbage classification resized/trash/trash_454.jpg,trash
Garbage classification resized/metal/metal410.jpg,metal
Garbage classification resized/paper/paper333.jpg,paper
Garbage classification resized/paper/paper409.jpg,paper
Garbage classification resized/trash/trash_380.jpg,trash
Garbage classification resized/paper/paper74.jpg,paper
Garbage classification resized/cardboard/cardboard_516.jpg,cardboard
Garbage classification resized/trash/trash_265.jpg,trash
Garbage classification resized/cardboard/cardboard88.jpg,cardboard
Garbage classification resized/plastic/plastic70.jpg,plastic
Garbage classification resized/glass/glass_540.jpg,glass
Garbage classification resized/paper/paper212.jpg,paper
Garbage classification resized/trash/trash_259.jpg,trash
Garbage classification resized/cardboard/cardboard119.jpg,cardboard
Garbage classification resized/cardboard/cardboard104.jpg,cardboard
Garbage classification resized/paper/paper455.jpg,paper
Garbage classification resized/paper/paper83.jpg,paper
Garbage classification resized/cardboard/cardboard359.jpg,cardboard
Garbage classification resized/metal/metal165.jpg,metal
Garbage classification resized/trash/trash_501.jpg,trash
Garbage classification resized/metal/metal114.jpg,metal
Garbage classification resized/metal/metal227.jpg,metal
Garbage classification resized/metal/metal85.jpg,metal
Garbage classification resized/paper/paper231.jpg,paper
Garbage classification resized/paper/paper10.jpg,paper
Garbage classification resized/paper/paper68.jpg,paper
Garbage classification resized/glass/glass441.jpg,glass
Garbage classification resized/paper/paper579.jpg,paper
Garbage classification resized/glass/glass360.jpg,glass
Garbage classification resized/trash/trash_375.jpg,trash
Garbage classification resized/plastic/plastic325.jpg,plastic
Garbage classification resized/plastic/plastic_548.jpg,plastic
Garbage classification resized/metal/metal153.jpg,metal
Garbage classification resized/paper/paper57.jpg,paper
Garbage classification resized/glass/glass286.jpg,glass
Garbage classification resized/paper/paper356.jpg,paper
Garbage classification resized/paper/paper253.jpg,paper
Garbage classification resized/plastic/plastic340.jpg,plastic
Garbage classification resized/glass/glass278.jpg,glass
Garbage classification resized/plastic/plastic15.jpg,plastic
Garbage classification resized/metal/metal188.jpg,metal
Garbage classification resized/metal/metal16.jpg,metal
Garbage classification resized/cardboard/cardboard217.jpg,cardboard
Garbage classification resized/metal/metal87.jpg,metal
Garbage classification resized/metal/metal_566.jpg,metal
Garbage classification resized/paper/paper93.jpg,paper
Garbage classification resized/metal/metal401.jpg,metal
Garbage classification resized/paper/paper239.jpg,paper
Garbage classification resized/plastic/plastic_545.jpg,plastic
Garbage classification resized/plastic/plastic347.jpg,plastic
Garbage classification resized/plastic/plastic339.jpg,plastic
Garbage classification resized/paper/paper241.jpg,paper
Garbage classification resized/cardboard/cardboard_420.jpg,cardboard
Garbage classification resized/glass/glass458.jpg,glass
Garbage classification resized/plastic/plastic478.jpg,plastic
Garbage classification resized/paper/paper488.jpg,paper
Garbage classification resized/cardboard/cardboard396.jpg,cardboard
Garbage classification resized/plastic/plastic462.jpg,plastic
Garbage classification resized/plastic/plastic367.jpg,plastic
Garbage classification resized/trash/trash_211.jpg,trash
Garbage classification resized/glass/glass80.jpg,glass
Garbage classification resized/metal/metal404.jpg,metal
Garbage classification resized/plastic/plastic400.jpg,plastic
Garbage classification resized/paper/paper269.jpg,paper
Garbage classification resized/metal/metal_591.jpg,metal
Garbage classification resized/glass/glass124.jpg,glass
Garbage classification resized/glass/glass158.jpg,glass
Garbage classification resized/glass/glass_580.jpg,glass
Garbage classification resized/glass/glass322.jpg,glass
Garbage classification resized/cardboard/cardboard_435.jpg,cardboard
Garbage classification resized/cardboard/cardboard168.jpg,cardboard
Garbage classification resized/cardboard/cardboard_553.jpg,cardboard
Garbage classification resized/glass/glass481.jpg,glass
Garbage classification resized/metal/metal_497.jpg,metal
Garbage classification resized/cardboard/cardboard83.jpg,cardboard
Garbage classification resized/metal/metal192.jpg,metal
Garbage classification resized/cardboard/cardboard_477.jpg,cardboard
Garbage classification resized/trash/trash_240.jpg,trash
Garbage classification resized/paper/paper345.jpg,paper
Garbage classification resized/cardboard/cardboard380.jpg,cardboard
Garbage classification resized/trash/trash58.jpg,trash
Garbage classification resized/trash/trash_202.jpg,trash
Garbage classification resized/glass/glass132.jpg,glass
Garbage classification resized/metal/metal_537.jpg,metal
Garbage classification resized/trash/trash_443.jpg,trash
Garbage classification resized/plastic/plastic381.jpg,plastic
Garbage classification resized/paper/paper116.jpg,paper
Garbage classification resized/cardboard/cardboard259.jpg,cardboard
Garbage classification resized/plastic/plastic_541.jpg,plastic
Garbage classification resized/trash/trash_289.jpg,trash
Garbage classification resized/trash/trash_257.jpg,trash
Garbage classification resized/cardboard/cardboard34.jpg,cardboard
Garbage classification resized/cardboard/cardboard228.jpg,cardboard
Garbage classification resized/metal/metal236.jpg,metal
Garbage classification resized/paper/paper414.jpg,paper
Garbage classification resized/cardboard/cardboard247.jpg,cardboard
Garbage classification resized/trash/trash_335.jpg,trash
Garbage classification resized/paper/paper82.jpg,paper
Garbage classification resized/glass/glass66.jpg,glass
Garbage classification resized/glass/glass389.jpg,glass
Garbage classification resized/plastic/plastic108.jpg,plastic
Garbage classification resized/paper/paper372.jpg,paper
Garbage classification resized/metal/metal252.jpg,metal
Garbage classification resized/paper/paper324.jpg,paper
Garbage classification resized/plastic/plastic120.jpg,plastic
Garbage classification resized/glass/glass281.jpg,glass
Garbage classification resized/trash/trash_539.jpg,trash
Garbage classification resized/glass/glass364.jpg,glass
Garbage classification resized/trash/trash_513.jpg,trash
Garbage classification resized/plastic/plastic147.jpg,plastic
Garbage classification resized/metal/metal397.jpg,metal
Garbage classification resized/cardboard/cardboard1.jpg,cardboard
Garbage classification resized/glass/glass235.jpg,glass
Garbage classification resized/plastic/plastic61.jpg,plastic
Garbage classification resized/plastic/plastic452.jpg,plastic
Garbage classification resized/metal/metal64.jpg,metal
Garbage classification resized/paper/paper388.jpg,paper
Garbage classification resized/glass/glass429.jpg,glass
Garbage classification resized/paper/paper459.jpg,paper
Garbage classification resized/glass/glass54.jpg,glass
Garbage classification resized/plastic/plastic302.jpg,plastic
Garbage classification resized/cardboard/cardboard227.jpg,cardboard
Garbage classification resized/paper/paper15.jpg,paper
Garbage classification resized/cardboard/cardboard_573.jpg,cardboard
Garbage classification resized/metal/metal152.jpg,metal
Garbage classification resized/glass/glass451.jpg,glass
Garbage classification resized/cardboard/cardboard361.jpg,cardboard
Garbage classification resized/cardboard/cardboard40.jpg,cardboard
Garbage classification resized/metal/metal_558.jpg,metal
Garbage classification resized/paper/paper484.jpg,paper
Garbage classification resized/trash/trash4.jpg,trash
Garbage classification resized/glass/glass163.jpg,glass
Garbage classification resized/plastic/plastic330.jpg,plastic
Garbage classification resized/metal/metal388.jpg,metal
Garbage classification resized/metal/metal251.jpg,metal
Garbage classification resized/glass/glass_546.jpg,glass
Garbage classification resized/trash/trash_268.jpg,trash
Garbage classification resized/paper/paper244.jpg,paper
Garbage classification resized/glass/glass301.jpg,glass
Garbage classification resized/trash/trash_439.jpg,trash
Garbage classification resized/glass/glass121.jpg,glass
Garbage classification resized/plastic/plastic111.jpg,plastic
Garbage classification resized/metal/metal220.jpg,metal
Garbage classification resized/trash/trash_541.jpg,trash
Garbage classification resized/metal/metal93.jpg,metal
Garbage classification resized/metal/metal156.jpg,metal
Garbage classification resized/paper/paper364.jpg,paper
Garbage classification resized/trash/trash_360.jpg,trash
Garbage classification resized/plastic/plastic80.jpg,plastic
Garbage classification resized/cardboard/cardboard_473.jpg,cardboard
Garbage classification resized/cardboard/cardboard336.jpg,cardboard
Garbage classification resized/paper/paper77.jpg,paper
Garbage classification resized/paper/paper428.jpg,paper
Garbage classification resized/paper/paper208.jpg,paper
Garbage classification resized/paper/paper38.jpg,paper
Garbage classification resized/trash/trash_426.jpg,trash
Garbage classification resized/cardboard/cardboard_483.jpg,cardboard
Garbage classification resized/metal/metal232.jpg,metal
Garbage classification resized/cardboard/cardboard239.jpg,cardboard
Garbage classification resized/metal/metal370.jpg,metal
Garbage classification resized/trash/trash_174.jpg,trash
Garbage classification resized/metal/metal_522.jpg,metal
Garbage classification resized/paper/paper332.jpg,paper
Garbage classification resized/metal/metal_525.jpg,metal
Garbage classification resized/glass/glass205.jpg,glass
Garbage classification resized/cardboard/cardboard_578.jpg,cardboard
Garbage classification resized/paper/paper309.jpg,paper
Garbage classification resized/glass/glass433.jpg,glass
Garbage classification resized/paper/paper520.jpg,paper
Garbage classification resized/trash/trash_527.jpg,trash
Garbage classification resized/glass/glass239.jpg,glass
Garbage classification resized/trash/trash85.jpg,trash
Garbage classification resized/trash/trash_151.jpg,trash
Garbage classification resized/trash/trash47.jpg,trash
Garbage classification resized/cardboard/cardboard_424.jpg,cardboard
Garbage classification resized/paper/paper221.jpg,paper
Garbage classification resized/plastic/plastic_552.jpg,plastic
Garbage classification resized/trash/trash_457.jpg,trash
Garbage classification resized/paper/paper297.jpg,paper
Garbage classification resized/metal/metal_412.jpg,metal
Garbage classification resized/plastic/plastic71.jpg,plastic
Garbage classification resized/cardboard/cardboard356.jpg,cardboard
Garbage classification resized/cardboard/cardboard_577.jpg,cardboard
Garbage classification resized/metal/metal196.jpg,metal
Garbage classification resized/cardboard/cardboard183.jpg,cardboard
Garbage classification resized/metal/metal250.jpg,metal
Garbage classification resized/metal/metal_528.jpg,metal
Garbage classification resized/glass/glass241.jpg,glass
Garbage classification resized/plastic/plastic310.jpg,plastic
Garbage classification resized/plastic/plastic_554.jpg,plastic
Garbage classification resized/metal/metal363.jpg,metal
Garbage classification resized/plastic/plastic343.jpg,plastic
Garbage classification resized/trash/trash111.jpg,trash
Garbage classification resized/glass/glass302.jpg,glass
Garbage classification resized/plastic/plastic477.jpg,plastic
Garbage classification resized/plastic/plastic_569.jpg,plastic
Garbage classification resized/cardboard/cardboard200.jpg,cardboard
Garbage classification resized/paper/paper513.jpg,paper
Garbage classification resized/plastic/plastic303.jpg,plastic
Garbage classification resized/cardboard/cardboard384.jpg,cardboard
Garbage classification resized/trash/trash118.jpg,trash
Garbage classification resized/trash/trash_300.jpg,trash
Garbage classification resized/glass/glass11.jpg,glass
Garbage classification resized/trash/trash_173.jpg,trash
Garbage classification resized/plastic/plastic196.jpg,plastic
Garbage classification resized/plastic/plastic187.jpg,plastic
Garbage classification resized/trash/trash_534.jpg,trash
Garbage classification resized/metal/metal57.jpg,metal
Garbage classification resized/glass/glass_514.jpg,glass
Garbage classification resized/glass/glass30.jpg,glass
Garbage classification resized/cardboard/cardboard287.jpg,cardboard
Garbage classification resized/cardboard/cardboard385.jpg,cardboard
Garbage classification resized/glass/glass204.jpg,glass
Garbage classification resized/trash/trash29.jpg,trash
Garbage classification resized/metal/metal_571.jpg,metal
Garbage classification resized/cardboard/cardboard_570.jpg,cardboard
Garbage classification resized/trash/trash_511.jpg,trash
Garbage classification resized/glass/glass351.jpg,glass
Garbage classification resized/glass/glass146.jpg,glass
Garbage classification resized/glass/glass248.jpg,glass
Garbage classification resized/cardboard/cardboard_520.jpg,cardboard
Garbage classification resized/glass/glass348.jpg,glass
Garbage classification resized/plastic/plastic_482.jpg,plastic
Garbage classification resized/trash/trash_356.jpg,trash
Garbage classification resized/cardboard/cardboard325.jpg,cardboard
Garbage classification resized/paper/paper318.jpg,paper
Garbage classification resized/trash/trash28.jpg,trash
Garbage classification resized/cardboard/cardboard_448.jpg,cardboard
Garbage classification resized/plastic/plastic358.jpg,plastic
Garbage classification resized/plastic/plastic276.jpg,plastic
Garbage classification resized/trash/trash_498.jpg,trash
Garbage classification resized/metal/metal_559.jpg,metal
Garbage classification resized/cardboard/cardboard_547.jpg,cardboard
Garbage classification resized/plastic/plastic297.jpg,plastic
Garbage classification resized/metal/metal105.jpg,metal
Garbage classification resized/paper/paper234.jpg,paper
Garbage classification resized/paper/paper66.jpg,paper
Garbage classification resized/trash/trash_246.jpg,trash
Garbage classification resized/metal/metal280.jpg,metal
Garbage classification resized/cardboard/cardboard324.jpg,cardboard
Garbage classification resized/trash/trash_452.jpg,trash
Garbage classification resized/plastic/plastic374.jpg,plastic
Garbage classification resized/cardboard/cardboard_452.jpg,cardboard
Garbage classification resized/cardboard/cardboard_537.jpg,cardboard
Garbage classification resized/glass/glass92.jpg,glass
Garbage classification resized/metal/metal_538.jpg,metal
Garbage classification resized/trash/trash_504.jpg,trash
Garbage classification resized/cardboard/cardboard_457.jpg,cardboard
Garbage classification resized/metal/metal_550.jpg,metal
Garbage classification resized/trash/trash104.jpg,trash
Garbage classification resized/trash/trash_445.jpg,trash
Garbage classification resized/plastic/plastic73.jpg,plastic
Garbage classification resized/glass/glass211.jpg,glass
Garbage classification resized/trash/trash_262.jpg,trash
Garbage classification resized/metal/metal_469.jpg,metal
Garbage classification resized/trash/trash46.jpg,trash
Garbage classification resized/trash/trash_492.jpg,trash
Garbage classification resized/plastic/plastic44.jpg,plastic
Garbage classification resized/plastic/plastic_561.jpg,plastic
Garbage classification resized/paper/paper89.jpg,paper
Garbage classification resized/plastic/plastic285.jpg,plastic
Garbage classification resized/glass/glass415.jpg,glass
Garbage classification resized/cardboard/cardboard_530.jpg,cardboard
Garbage classification resized/plastic/plastic_585.jpg,plastic
Garbage classification resized/trash/trash36.jpg,trash
Garbage classification resized/cardboard/cardboard_514.jpg,cardboard
Garbage classification resized/cardboard/cardboard_540.jpg,cardboard
Garbage classification resized/paper/paper27.jpg,paper
Garbage classification resized/trash/trash_333.jpg,trash
Garbage classification resized/trash/trash_551.jpg,trash
Garbage classification resized/cardboard/cardboard_441.jpg,cardboard
Garbage classification resized/cardboard/cardboard85.jpg,cardboard
Garbage classification resized/plastic/plastic149.jpg,plastic
Garbage classification resized/metal/metal_479.jpg,metal
Garbage classification resized/glass/glass_559.jpg,glass
Garbage classification resized/metal/metal_468.jpg,metal
Garbage classification resized/trash/trash_353.jpg,trash
Garbage classification resized/paper/paper337.jpg,paper
Garbage classification resized/metal/metal70.jpg,metal
Garbage classification resized/plastic/plastic220.jpg,plastic
Garbage classification resized/trash/trash_237.jpg,trash
Garbage classification resized/plastic/plastic_572.jpg,plastic
Garbage classification resized/plastic/plastic346.jpg,plastic
Garbage classification resized/cardboard/cardboard151.jpg,cardboard
Garbage classification resized/cardboard/cardboard163.jpg,cardboard
Garbage classification resized/metal/metal307.jpg,metal
Garbage classification resized/trash/trash79.jpg,trash
Garbage classification resized/metal/metal149.jpg,metal
Garbage classification resized/plastic/plastic131.jpg,plastic
Garbage classification resized/cardboard/cardboard44.jpg,cardboard
Garbage classification resized/plastic/plastic_568.jpg,plastic
Garbage classification resized/paper/paper135.jpg,paper
Garbage classification resized/cardboard/cardboard129.jpg,cardboard
Garbage classification resized/glass/glass254.jpg,glass
Garbage classification resized/cardboard/cardboard_447.jpg,cardboard
Garbage classification resized/cardboard/cardboard235.jpg,cardboard
Garbage classification resized/trash/trash_571.jpg,trash
Garbage classification resized/cardboard/cardboard348.jpg,cardboard
Garbage classification resized/trash/trash_538.jpg,trash
Garbage classification resized/glass/glass470.jpg,glass
Garbage classification resized/trash/trash60.jpg,trash
Garbage classification resized/glass/glass60.jpg,glass
Garbage classification resized/metal/metal240.jpg,metal
Garbage classification resized/glass/glass126.jpg,glass
Garbage classification resized/trash/trash_552.jpg,trash
Garbage classification resized/paper/paper81.jpg,paper
Garbage classification resized/paper/paper536.jpg,paper
Garbage classification resized/glass/glass_535.jpg,glass
Garbage classification resized/plastic/plastic153.jpg,plastic
Garbage classification resized/metal/metal364.jpg,metal
Garbage classification resized/glass/glass31.jpg,glass
Garbage classification resized/cardboard/cardboard103.jpg,cardboard
Garbage classification resized/metal/metal376.jpg,metal
Garbage classification resized/plastic/plastic_483.jpg,plastic
Garbage classification resized/plastic/plastic218.jpg,plastic
Garbage classification resized/paper/paper65.jpg,paper
Garbage classification resized/plastic/plastic228.jpg,plastic
Garbage classification resized/plastic/plastic337.jpg,plastic
Garbage classification resized/cardboard/cardboard157.jpg,cardboard
Garbage classification resized/glass/glass207.jpg,glass
Garbage classification resized/metal/metal242.jpg,metal
Garbage classification resized/trash/trash_533.jpg,trash
Garbage classification resized/glass/glass296.jpg,glass
Garbage classification resized/glass/glass227.jpg,glass
Garbage classification resized/glass/glass96.jpg,glass
Garbage classification resized/trash/trash_554.jpg,trash
Garbage classification resized/glass/glass223.jpg,glass
Garbage classification resized/glass/glass137.jpg,glass
Garbage classification resized/metal/metal208.jpg,metal
Garbage classification resized/plastic/plastic379.jpg,plastic
Garbage classification resized/metal/metal_473.jpg,metal
Garbage classification resized/cardboard/cardboard347.jpg,cardboard
Garbage classification resized/trash/trash134.jpg,trash
Garbage classification resized/cardboard/cardboard232.jpg,cardboard
Garbage classification resized/cardboard/cardboard_480.jpg,cardboard
Garbage classification resized/paper/paper587.jpg,paper
Garbage classification resized/paper/paper516.jpg,paper
Garbage classification resized/metal/metal226.jpg,metal
Garbage classification resized/paper/paper474.jpg,paper
Garbage classification resized/metal/metal98.jpg,metal
Garbage classification resized/cardboard/cardboard331.jpg,cardboard
Garbage classification resized/paper/paper70.jpg,paper
Garbage classification resized/metal/metal67.jpg,metal
Garbage classification resized/cardboard/cardboard116.jpg,cardboard
Garbage classification resized/metal/metal_477.jpg,metal
Garbage classification resized/paper/paper278.jpg,paper
Garbage classification resized/glass/glass25.jpg,glass
Garbage classification resized/glass/glass143.jpg,glass
Garbage classification resized/trash/trash_409.jpg,trash
